Timestamp,Who is your favorite music artist (broadly defined)?,What physical height would you like to be?,"If you had to live in city, but could pick any city in the world, what city would you live in?","If you could have 30 minutes to talk with any person, living or dead, who would you pick?","If you could travel to any location in the world for vacation, where would you go?",On a scale of 1 (gross) to five (awesome) how much do you like pizza?,Is Chicago-style deep dish actually pizza or is it really casserole?,What sport do you most enjoy watching?,Which is the most difficult to spell? ,What is the optimal number of people to hang out with?,Do you think you talk more or less than the average person?,"If you had a time machine and could visit any year you like, which year would you pick?",What's you favorite inspirational quote? You don't need to do this from memory. Feel free to look something up and then paste it in here. ,Desired Height (in),Favorite Sport,Procastinator,Men or Women inspiration,Masculinity
1/8/2020 15:15,Shawn James,"6' 0""","Duluth, Minnesota",Keanu Reeves,Hawaii,5,pizza,Swimming,hors d'oeuvre,6,More,2222,"""Life is all about resolve. Outcome is secondary.""",72,Misc,0,0,7
1/8/2020 15:27,Rainbow Kitten Surprise,5'7,"Nashville, TN",Noam Chomsky,Spain,5,pizza,football,hors d'oeuvre,2,More,2030,"""I began to realize how important it was to be an enthusiast in life. If you are interested in something, no matter what it is, go at it full speed. Embrace it with both arms, hug it, love it, and above all become passionate about it. Lukewarm is no good."" Roald Dahl",67,Football,0,0,7
1/8/2020 15:34,alternative rock,5'5,Laguna Beach,My sister,Vietnam,5,no opinion,Soccer ,hors d'oeuvre,4,Less,1910,When you feel like quitting think about why you started. ,65,Soccer,0,0,1
1/8/2020 16:18,the Rippingtons,5'7,Makati,my dad,Samoa,4,pizza,basketball,hors d'oeuvre,1,Less,2012,"The simple things are also the most extraordinary things, and only the wise can see them.",67,Basketball,0,0,5
1/8/2020 16:18,Drake,6 feet 3 inches,Paris,Abraham Lincoln,Hawaii,5,casserole,Football,daiquiri,3,Less,2100,"""You miss 100% of the shots you don't take"" -Wayne Gretzky",75,Football,0,0,6
1/8/2020 16:38,Chance the Rapper or Ariana Grande,5'4,New York ,Oprah ,Greece ,5,pizza,Basketball,hors d'oeuvre,4,More,1994,"Don't Dream your life, Live your Dream ",64,Basketball,0,0,2
1/8/2020 17:49,Kanye ,"5'7""","Barcelona, Spain",Barack Obama ,Antarctica,5,pizza,Football,hors d'oeuvre,3,More,1920,"Past and future obviously have no reality of their own. Just as the moon has no light of its own, but can only reflect the light of the sun, so are past and future only pale reflections of the light, power, and reality of the eternal present. Their reality is “borrowed” from the Now.",67,Football,1,0,7
1/8/2020 22:02,Katy Perry,5'2,"Carrollton, Texas ",Mom ,"Canada, Taiwan, Korean, Vietnam, Hawaii, New York",4,pizza,Volleyball ,hors d'oeuvre,3,Less,2001,"Don’t cry because it’s over, smile because it happened. ― Dr. Seuss",62,Misc,1,0,0
1/9/2020 0:20,Hozier,5’6”,Copenhagen,Iris Apfel,Peru,5,no opinion,Soccer,lieutenant,3,Less,3000,“Sometimes you will never know the value of a moment until it becomes a memory”,66,Soccer,1,0,2
1/9/2020 9:10,rap/ R&B,"5'11""","Dublin, Ireland",Karl Landsteiner,Greece,3,pizza,Basketball,hors d'oeuvre,4,More,1918,"""We cannot become what we want by remaining what we are"" - Max Depree",71,Basketball,1,0,7
